participantId,order,submittedAt,run,condition,dataset,recordType,taskId,taskTitle,targetType,selected,correctAnswer,durationSec,clicks,exactMatch,accuracy,truePositives,falsePositives,missed,nasaMentalDemand,nasaPhysicalDemand,nasaTemporalDemand,nasaPerformance,nasaEffort,nasaFrustration,sus1,sus2,sus3,sus4,sus5,sus6,sus7,sus8,sus9,sus10,visualOverload,easeDetection,relevanceDifferentiation,nasaPerformanceInverted,rawNasaTlx,susScore,dashboardExperience,visualizationExperience,ageGroup,colorVision,feedback
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,task,criticalKpi,Kritische Kennzahlen finden,kpi,Open Incidents; P95 Latency; Error Rate; Failed Jobs,P95 Latency; Error Rate; Open Incidents; Failed Jobs,32,4,True,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,task,priorityService,Service mit höchster Error Rate auswählen,service,Payment Gateway,Payment Gateway,42,3,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,task,multiMetricServices,Services über zwei Grenzwerten auswählen,service,Checkout Service; User Database; Payment Gateway,Payment Gateway; Checkout Service; User Database,41,3,True,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,task,bottleneckStages,Pipeline-Bottlenecks auswählen,throughput,Validation; Retry Queue,Validation; Retry Queue,33,2,True,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,task,slaRisk,Höchstes SLA-Risiko auswählen,sla,Checkout API,Checkout API,15,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,task,historyComponent,Komponente mit den meisten kritischen Checks auswählen,history,API Traffic,API Traffic,21,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,1,highlight,A,questionnaire,,,,,,,,,,,,,3,1,4,5,3,4,2,4,2,3,2,2,3,4,2,3,6,5,3,3,3,37.5,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,task,criticalKpi,Kritische Kennzahlen finden,kpi,Queue Depth; Open Incidents; P95 Latency; Error Rate; Failed Jobs,P95 Latency; Error Rate; Queue Depth; Open Incidents; Failed Jobs,17,5,True,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,task,priorityService,Service mit höchster Error Rate auswählen,service,Search Service,Search Service,12,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,task,multiMetricServices,Services über zwei Grenzwerten auswählen,service,Recommendation API; Search Service; Order Database,Search Service; Recommendation API; Order Database,35,3,True,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,task,bottleneckStages,Pipeline-Bottlenecks auswählen,throughput,Processing; Export,Processing; Export,63,2,True,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,task,slaRisk,Höchstes SLA-Risiko auswählen,sla,Search API,Search API,21,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,task,historyComponent,Komponente mit den meisten kritischen Checks auswählen,history,Mobile App,Mobile App,13,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,2,baseline,B,questionnaire,,,,,,,,,,,,,4,2,1,6,3,2,1,3,2,2,3,1,3,3,2,3,5,2,2,2,2.3333333333333335,47.5,,,,,
P-1298,highlight,2026-06-10T11:42:53.476Z,,,,backgroundAndFeedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,25-34,no,Critical und die rote Farbe hat geholfen
